kernel,gpu__time_duration.sum,gpu__time_duration.avg,sm__throughput.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,dram__throughput.avg.pct_of_peak_sustained_elapsed,sm__warps_active.avg.pct_of_peak_sustained_active,launch__occupancy_limit_blocks,launch__occupancy_limit_registers,launch__occupancy_limit_shared_mem,launch__occupancy_limit_warps,launch__registers_per_thread,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,dram__bytes.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_ld.sum,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",29.568,29.568,42.756093,42.756093,,61.36204,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.888,37.888,0.549344,0.549344,,97.812098,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",20.256,20.256,30.576416,30.576416,,32.525,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",29.568,29.568,37.332835,37.332835,,58.781867,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.824,37.824,0.551031,0.551031,,97.94096,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",19.072,19.072,30.283912,30.283912,,30.099893,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",28.416,28.416,33.420081,33.420081,,52.748976,16.0,5.0,14.0,4.0,48.0,,,,
"void potrf_alg2_cta_upper<float, float, 32>(int, int, T1 *, unsigned long, int *)",37.888,37.888,0.549547,0.549547,,98.091661,16.0,2.0,128.0,1.0,22.0,,,,
"void potrf_alg2_upper_trsm<float, 5, 3>(int, int, T1 *, unsigned long, T1 *, unsigned long)",18.88,18.88,28.085789,28.085789,,27.646155,16.0,8.0,6.0,4.0,28.0,,,,
"void potrf_alg2_syrk_kernel<float, 1, 0, 5, 5, 3, 4, 4>(int, int, int, const T1 *, unsigned long, T1 *, unsigned long, bool)",26.4,26.4,30.619324,30.619324,,46.734081,16.0,5.0,14.0,4.0,48.0,,,,
