Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
9634038797,59777,6278,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9634100494,146688,6287,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9713969984,352,6388,,,,,,,,,,0.001,2090.909,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memset]
9713988704,117664,6389,184,1,2,128,1,1,128,0.000,0.031,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
9714107968,6528,6390,,,,,,,,,,4.194,642508.653,Device,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memcpy Device-to-Device]
9714116096,8864,6391,,,,,,,,,,5.947,670955.028,Device,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memcpy Device-to-Device]
9714127232,307362,6406,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9714438210,219649,6415,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9714659299,608,6427,,,,,,,,,,0.001,1210.526,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memset]
9714660611,115136,6428,184,1,2,128,1,1,128,0.000,0.031,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
9714778499,446050,6443,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9715227717,416994,6452,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9715646439,608,6463,,,,,,,,,,0.001,1210.526,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memset]
9715647751,113249,6464,184,1,2,128,1,1,128,0.000,0.031,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
9715763304,6752,6465,,,,,,,,,,4.194,621193.200,Device,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memcpy Device-to-Device]
9715770920,10240,6466,,,,,,,,,,5.947,580798.513,Device,Device,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memcpy Device-to-Device]
9715783208,304961,6481,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9716091721,219745,6490,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9716313642,320,6501,,,,,,,,,,0.001,2300.000,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memset]
9716314698,115201,6502,184,1,2,128,1,1,128,0.000,0.031,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
9716433067,475778,6517,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9716910093,409378,6526,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
9717321263,320,6537,,,,,,,,,,0.001,2300.000,Device,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,[CUDA memset]
9717322287,112577,6538,184,1,2,128,1,1,128,0.000,0.031,,,,,NVIDIA RTX PRO 4500 Blackwell (3),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nn_align1>(T1::Params)
11486589968,717220,7092,,,,,,,,,,8.389,11693.720,Device,Pageable,NVIDIA RTX PRO 4500 Blackwell (3),1,,7,[CUDA memcpy Device-to-Host]
