Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
10491674305,704,6117,,,,,,,,,,0.000,215.909,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,30,[CUDA memcpy Host-to-Device]
10498760679,288,6124,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,30,[CUDA memcpy Host-to-Device]
10505036777,320,6131,,,,,,,,,,0.000,475.000,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,30,[CUDA memcpy Host-to-Device]
10509676195,320,6137,,,,,,,,,,0.000,475.000,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,30,[CUDA memcpy Host-to-Device]
10526104540,448,6217,,,,,,,,,,0.000,339.286,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,28,[CUDA memcpy Host-to-Device]
10532280606,288,6224,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,28,[CUDA memcpy Host-to-Device]
10535866609,288,6230,,,,,,,,,,0.000,527.778,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,28,[CUDA memcpy Host-to-Device]
10542278836,320,6237,,,,,,,,,,0.000,475.000,Pageable,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,28,[CUDA memcpy Host-to-Device]
10546609164,82112,6247,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10546694156,222721,6256,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10626609599,640,6358,,,,,,,,,,0.000,400.000,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memset]
10626629087,161057,6359,64,1,5,256,1,1,210,0.000,0.049,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
10626792256,12576,6360,,,,,,,,,,8.389,667028.554,Device,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memcpy Device-to-Device]
10626805952,548291,6375,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10627357155,41025,6384,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10627400420,704,6397,,,,,,,,,,0.000,363.636,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memset]
10627401796,157760,6398,64,1,5,256,1,1,210,0.000,0.049,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
10627562372,6336,6399,,,,,,,,,,4.194,661978.612,Device,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memcpy Device-to-Device]
10627569956,518371,6414,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10628091655,222946,6423,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10628315785,576,6435,,,,,,,,,,0.000,444.444,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memset]
10628317449,157024,6436,64,1,5,256,1,1,210,0.000,0.049,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
10628475721,14273,6437,,,,,,,,,,8.389,587722.654,Device,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memcpy Device-to-Device]
10628491466,573091,6452,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10629067373,43456,6461,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10629113069,288,6473,,,,,,,,,,0.000,888.889,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memset]
10629114061,156641,6474,64,1,5,256,1,1,210,0.000,0.049,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
10629273550,7136,6475,,,,,,,,,,4.194,587764.597,Device,Device,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memcpy Device-to-Device]
10629283118,482306,6490,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10629766864,222626,6499,2,1,1,544,1,1,96,0.037,0.062,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
10629991666,288,6511,,,,,,,,,,0.000,888.889,Device,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,[CUDA memset]
10629992658,156929,6512,64,1,5,256,1,1,210,0.000,0.049,,,,,NVIDIA RTX PRO 4500 Blackwell (1),1,,16,void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(T1::Params)
12401156590,746788,7066,,,,,,,,,,8.389,11232.346,Device,Pageable,NVIDIA RTX PRO 4500 Blackwell (1),1,,7,[CUDA memcpy Device-to-Host]
